"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",8935,-1
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",4339,2
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",34577,14
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",10820,3
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",18685,2
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",3943,4
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",18748,3
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",7559,3
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",34056,3
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",4316,0
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",28942,3
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",8574,6
"Naz Shah ","@NazShahBfd","Labour","Bradford West",56565,5
"Nav Mishra","@NavPMishra","Labour","Stockport",12607,2
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",7582,0
"Nadine Dorries ","@NadineDorries","Conservative","Mid Bedfordshire",124651,49
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",93752,29
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",86082,32
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",16570,2
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",3260,0
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",17178,-1
"Mike Wood ","@mikejwood","Conservative","Dudley South",7557,3
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",12245,1
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",12038,0
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5323,-1
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",12809,4
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",20619,0
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",20910,-1
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",10739,-1
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",237397,1
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",50497,11
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",14575,0
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",200465,-4
"Mel Stride","@MelJStride","Conservative","Central Devon",6539,1
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",20785,-3
